Description;Category;About;Capacity;Rating;Price;CurrencyID;LocationID;UsersID
Piazza Navona Penthouse, nel cuore di Roma!;Apartment;The recently renovated apartment is located near one of the most important squares in Rome, Piazza Navona! The house consists of a large living room with a beautiful fireplace, a kitchen complete with all the comforts and cooking utensils, two bathrooms, a bedroom upstairs with another private bathroom for the bedroom. The house has two air conditioners on both floors, and comes with free and fast Wi-Fi. In the neighborhood you can experience the true spirit of Rome!;3;3.9;49;5;11;11
Casa Trastevere;Apartment;Casa Trastevere is located in the Roman Historical Centre opposite the famous Piazza Trilussa, near Piazza Navona, Piazza Campo de Fiori, Castel Sant''Angelo, Pantheon, Fontana di Trevi and Vatican. Composed of a kitchenette, a bedroom with a LED TV and a bathroom. Maximum of 2 people can stay in the apartment.;2;4.5;51;5;12;11
Loft com vista maravilhosa do Pao de Acucar;Loft;Cozy decoration. Apartment is located on top of two pharmacies, very close to Bobs, South Zone Market, home and video . Airy, it''s on the 12th floor windy, facing the beach. Ceiling fan in the living room and room.350m away from Praia Shopping.Facing Botafogo beach, driving in the door.500 m away.5 min walking to the subway station. Refrigerator,microwave, electric cooker,electric stove and blender.;4;4.9;73;8;13;13
FLATS MIDAS RIO - H;Room;New apartment, well lit, unobstructed view, air conditioned with split, refrigerator, microwave, television, LED TV, all furnished and with built-in wardrobes. In the residential complex you can enjoy the fitness area, the steam sauna and a parking lot on the ground floor of the accommodation (subject to availability) with concierge, reception and 24-hour security service as well as a shopping center next to convenience stores and beauty salons, pharmacies, banks, doctors, Restaurants, pet shop, etc.;2;4.3;67;8;14;13
Best Location in Prague - Old Town;Apartment;This is an apartment INSIDE another apartment. It just means you have to walk through a hallway to enter. Minutes from Old Town Square, Namesti Republiky, and Wenceclas Square. The Airport tram stop is 2 minutes away. Walk to Florenc Main Bus station in 8 minutes and Hlavni Nadrazi Main Train station in 12 minutes. Access tourist sites, grocery stores, clubs, restaurants, Beer Garden, Letna Park, etc. Have your own apartment on an awesome street in the most historic neighborhood in Prague.;4;4.6;460;9;15;15
Prague Absolute Centre Hideaway;Loft;Central penthouse in the heart of Prague, five steps from Mustek metro station and legendary Wenceslas Square. Enjoy comfy nest in centre of Old Town with large bedroom and living room with well equipped kitchen and another sleeping place.;7;4.2;900;9;16;15
Belyajevo Studio Moscow;Room;The room has accommodated all the most important things for a comfortable stay. Functional furniture, necessary equipment, hygiene items;2;4.1;2700;4;17;17
Quiet cozy studio in the centre of Moscow;Apartment;Cozy & quiet Provence styled studio in the pure centre of Moscow, 2 minutes from Belorusskaya metro station (2 Brestskaya ul., dom 43). Walking distance of the Tverskaya street, Moscow Academic Theatre of Satire and Bulgakov Museum. Great neighbourhood with a lot of restaurants, cafes & pubs, such as, for example, Corner Burger, Varenichnaya ? 1 (?????????? ?1), etc.;3;3.6;2340;4;18;17
Maple Leaf Sq. +Patio - 1BR + Sofabed - Jays, MTCC;Apartment;Cozy, spacious and inviting, you’ll feel perfectly at home in my luxury suite . There is one bedroom with a queen sized bed, and the sofa in the living room turns into a bed that comfortably sleeps two people. The building offers paid visitor parking with direct suite access through the elevators.;4;4.6;100;6;19;19
Cosy basement apartment with free parking!;Apartment;Cute studio apartment with onsite free parking! High-end, quiet and safe Toronto neighborhood! Bus stop outside of the house. Bus will take you to Toronto''s main subway line (Yonge Line) in 4 minutes. If you prefer to walk subway and Toronto''s main street is just 9 min walk from the house. 10 min cab drive to downtown. Supermarket 6 min walk. Gym 9 min walk. To CN Tower by public transportation from door to door 30 min.;2;1.7;55;6;20;19
